original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"Rising executive Tim Conrad works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",Dinner for Schmucks,69000000,86387857,114,2010-07-30,5.141,5.721,1858,['Comedy']
en,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",Warcraft,160000000,433677183,123,2016-05-25,6.0671,6.389,7038,"['Action', 'Adventure', 'Fantasy']"
en,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.",American Ultra,28000000,27100000,96,2015-08-19,5.8669,6.089,2862,"['Action', 'Comedy']"
en,"An African prince decides it’s time for him to find a princess... and his mission leads him and his most loyal friend to Queens, New York. In disguise as an impoverished immigrant, the pampered prince quickly finds himself a new job, new friends, new digs, new enemies and lots of trouble.",Coming to America,30000000,288752301,117,1988-06-29,5.3258,6.878,4558,"['Comedy', 'Romance']"
en,"Following a terrible car crash, a woman awakes to find an enigmatic mortician preparing her for burial.",After.Life,4500000,3606395,104,2009-11-07,5.7166,6.329,1185,"['Drama', 'Horror', 'Mystery', 'Thriller']"
en,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.",Beasts of No Nation,6000000,9077700,137,2015-09-11,5.455,7.592,1802,"['Drama', 'War']"
en,"After breaking up with Mark Darcy five years earlier, Bridget Jones' happily-ever-after hasn't quite gone according to plan. Fortysomething and single again, she decides to focus on her job as top news producer and surround herself with old friends and new. For once, Bridget has everything completely under control. Then her love life takes a turn - while a weekend away at a music festival, she meets a dashing American named Jack, who is everything Mark is not, and spends a night with him. A week later, she runs into newly-separated Mark, and has a one-night dalliance. In an unlikely twist, she finds herself pregnant, but with one hitch - she's not sure of the identity of her baby's father - Mark or Jack.",Bridget Jones's Baby,35000000,211952420,123,2016-09-14,5.7506,6.411,3016,"['Drama', 'Comedy', 'Romance']"
fr,"Patrick, a travel agent in his early 30s, lives with Arthur, an immigration lawyer; but for a long time, Patrick has been sleeping on an air mattress on the floor of their bedroom. His younger brother, Tony, plans to marry his high school sweetheart but is having an affair that is far more satisfying than his relationship with his fiancee. Their older brother, Ryan, is divorced, living at home and working at his parents’ hopelessly unprofitable men’s clothing store. And McCauley soon makes achingly clear that the parents’ marriage is far from happy.",The Easy Way Out,2728621,329017,98,2015-03-04,5.5163,5.1,42,['Comedy']
en,A group of eighty American workers are locked in their office and ordered by an unknown voice to participate in a twisted game.,The Belko Experiment,5000000,11792942,89,2016-03-17,4.8272,6.165,1586,"['Horror', 'Thriller']"
en,"Happily married Michael and Karen Carr call the police after Karen is held at knife point during a failed robbery attempt in their home. Before long, one of the responding officers, Officer Pete Davis, helps arrange the installation of a new security system, taking extra interest in the couple's case. As a result, the grateful Carrs invite him to stay for dinner and they strike up an unexpected friendship. However, as the lonely policeman develops an intense fixation on Karen, his take on friendship develops into a dangerous obsession soon becoming the Carrs' worst nightmare.",Unlawful Entry,23000000,57138719,112,1992-06-26,5.599,6.238,328,"['Thriller', 'Mystery']"
en,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",Percy Jackson: Sea of Monsters,90000000,199850315,106,2013-08-07,5.5218,6.022,5248,"['Adventure', 'Family', 'Fantasy']"
en,"When a group of idealistic young men join the German Army during the Great War, they are assigned to the Western Front, where their patriotism is destroyed by the harsh realities of combat.",All Quiet on the Western Front,1448864,3270000,133,1930-04-29,5.7968,7.75,873,"['Drama', 'War']"
en,"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",Men in Black: International,110000000,253890701,115,2019-06-12,5.9021,5.901,5151,"['Comedy', 'Science Fiction', 'Action', 'Adventure']"
en,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",Alvin and the Chipmunks: The Squeakquel,75000000,443140005,88,2009-12-21,6.3637,5.646,3045,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']"
en,"Predestination chronicles the life of a Temporal Agent sent on an intricate series of time-travel journeys designed to prevent future killers from committing their crimes. Now, on his final assignment, the Agent must stop the one criminal that has eluded him throughout time and prevent a devastating attack in which thousands of lives will be lost.",Predestination,5500000,4942449,98,2014-08-28,5.8196,7.422,6791,"['Science Fiction', 'Thriller']"
en,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,Neighbors,18000000,270665134,97,2014-05-08,5.2548,6.183,7089,['Comedy']
en,"After she discovers that her boyfriend has betrayed her, Hilary O'Neil is looking for a new start and a new job. She begins to work as a private nurse for a young man suffering from blood cancer. Slowly, they fall in love, but they always know their love cannot last because he is destined to die.",Dying Young,18000000,82264675,111,1991-06-20,5.4123,6.699,469,"['Drama', 'Romance']"
